label,l_eb_l,r_eb_l,u_ll_l,u_rl_l,l_l,l_h
anger,116.44681435136192,112.54477643208475,81.05986157587536,83.5289734797997,45.880278987817846,26.1725046566048
anger,114.52439028977005,95.41436902246689,76.09450964880463,83.82612237277047,56.089214649520635,28.42534080710379
anger,127.45989637307929,105.22340421904427,73.6639027676146,83.915726762871,60.41522986797286,47.01063709417264
anger,94.38828048120132,89.48767548294427,76.24936179348552,56.59572885917153,59.481089431852205,37.48332962798263
anger,115.54409384471028,93.14119562690215,75.24697714719477,66.04291513956372,50.99019513592785,27.65863337187866
anger,99.28112606682004,93.15605652257656,78.79268226196682,82.8181771693836,66.03029607687671,60.41522986797286
anger,115.15605577079859,113.01516402152782,75.93586852929442,74.41201990251581,50.00999900019995,25.45584412271571
anger,113.45673939301847,100.10977749608261,81.62888555849165,90.8775625732551,52.49761899362675,36.05551275463989
anger,142.3271320206353,127.7875110558922,79.53754902875383,77.49631372121374,60.74537019394976,47.885279575251516
anger,111.48882160790609,95.7269716798892,66.10297857645783,74.87934950768373,55.036351623268054,42.04759208325728
anger,98.48067403647994,86.95126584970501,66.98099457758876,63.70641466990249,54.405882034941776,36.40054944640259
anger,110.60586200871228,91.81332128144123,75.93586852929442,81.69045477558593,52.55473337388365,34.713109915419565
anger,89.03442517738235,86.14927415961628,75.93456803423803,74.18531901138033,51.66236541235796,34.058772731852805
anger,105.45907924306923,85.0826611815786,69.73213749463702,63.90276963828225,44.384682042344295,24.041630560342615
anger,116.00488477838414,98.68389549083828,74.82101927384014,74.09868828271415,55.90169943749474,27.65863337187866
anger,114.61531198912101,87.84824266683825,85.91822305896238,84.40172017915606,56.04462507680822,37.8021163428716
anger,139.00359969454954,110.37861025549964,75.3881301395876,74.82698366420317,41.7612260356422,20.518284528683193
anger,145.93837128304318,129.38650186291878,90.44173542371689,88.61547262794322,72.49827584156743,54.70831746635972
anger,130.428461332307,98.52624915724053,83.54783632812726,95.3021752176966,68.24221567329127,65.19202405202648
